text;labels
RT @KikoisHot: Bom dia hotties! Quem se inscrever neste link http://t.co/h99stXOm4B recebe o catalogo grátis em... http://t.co/HOrC5mbs92;1
Nem mais http://t.co/KUzWMikqj8;1
Acabei de publicar uma foto @ Palácio da Pena http://t.co/JWRiXpEwHV;1
@DiogoGuerreiro3 tas te a esquecer de martins e cedric a grande nivel hj;1
Acho que às vezes mais valia nem dizer nada...;0
- dps tmb nao vou querer flr cnt;1
"New post: ""Dupla é presa em Patrocínio suspeita de envolvimento em roubo à fazenda"" https://t.co/JpabNA3H2D";0
RT @nunotorre1996: @joanam2806 taaa bemm calma joaninha :);0
RT @MafaldaFilipa2: Sou fria, rude, não demonstro sentimentos e guardo tudo para mim.;1
"Eu sem ti = Mundo sem árvores
Sim, eu sem ti não existo.";1
#timbeta #globo Adolescente é preso com armas e drogas em Tumiritinga https://t.co/HqeLgDCUka #OperacaoBetaLab #Sigodevolta;0
@vascodcm Portugal tb está atravessar crise demográfica. tb aparecemos nos lugares cimeiros do ranking? @Joaogalamba @carlosgpinto;0
Juro quem me dera viver só c o meu pai, era perfeito;0
"Desculpem estar a ser chato mas... façam RT!!  --&gt; http://t.co/Bef7F81u7H";1
RT @Dids_md: #RaparigaQueÉRapariga odeia a chuva porque lhe pode estragar o cabelo;1
@VascoNunes1 claro que não são, até porque o valor gasto pelo Estado Português (em %) continua abaixo da média europeia;1
@Marco_PaulinoP ahh ! exato.... também acho !;0
RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7;1
"(Vídeo) Recinto da feira popular de Lisboa reabriu provisóriamente as portas:  
O recinto da feira popular de ... http://t.co/tTW88o0CSn";1
@brun1p com fome;1
Viktor Troicki com sanção reduzida para 1 ano - http://t.co/zwvhVq5MwT via @NewSportEvents;1
@lyotomachidafw parabéns lyoto! Muita saude e vitorias pra voces!;0
Sintra abre refeitórios escolares nas férias http://t.co/1VsAUaB1gX;1
Ricardo Stefan no Aqui Portugal da RTP em Viana do Castelo com o tema Calor e Paixão: http://t.co/RCrktm2e22 via @YouTube;1
Colóquio Internacional “Nova Lisboa Medieval” - 20 a 22 de novembro - Ler mais em http://t.co/QIjNywRO5P;1
@CatarinaNGirao mas segunda não é o dia dos namorados....;0
"#timbeta #globo Ônibus carregado de drogas é flagrado na MG-353; motorista é preso https://t.co/HolfyHPt0I #OperacaoBetaLab #Sigodevolta";0
f-se mas ontem nao tava mesmo nada bem;1
adoro aquelas msgs de boa noite que te deixam com um sorriso na cara;0
"RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.

 htt…";1
estou com os pulmões todos atacados por estar doente e é quando mais me apetece fumar;1
Vou mimir;0
Mas no verão o Twitter é tão mais animado idk;1
"""O teu sorriso faz o meu mundo girar"" :$";1
Square Faces um projeto da @isv5 http://t.co/82BGvaN808;1
#SeÉsDaGeraçãoDe90 chegaste a ver as Aventuras De Tintin;1
Um Dia triste para a dança em Portugal http://t.co/u8oSekWQrE;1
@biroscca @luuviiana a sociedade vai achar que é vdd, melhor parar KKKKKKKKKKKKK;0
AHAHAH TOU MA RIR #FactorX;0
VOU ALMOÇAR CHINÊS AMT MÃE;1
sempre dá tudo errado comigo;1
pronto, sou viciada e tenho pior dealer do mundo... o meu cérebro. #flow;1
@souoToms oh rapaz vcs não tem mascote sry;1
@jbasher, not Politico... Público (@publico), from Portugal. @jeffjarvis @dorseyshaw;1
@snorlax1906 amo-te;0
"""Amigos...
Se um dia eu não estiver mais aqui...
Acho que não vou estranhar o céu.....
Ser amiga de vocês, já é um pedaço dele...""";1
Só eu que ja trabalho mais de 6 meses e não recebo décimo ?  .-.;1
odeio palavras não sentidas...;1
Assista à mesa redonda do III Colóquio MD, com a moderação de Fernanda Freitas, em http://t.co/pDg2IX7MAq  #mediadeficiencia;1
@igorrsobral @_susee DE NADA É VERDADE SÃO GÉMEAS;1
@ruithealmighty Mesmo tudo?!;0
A minha mummy voltou agora do velório;1
Sara Sampaio: Adeus Miami! http://t.co/zGADp27h6L #spotmais;1
Omd as fotos estão a passar tão rápido que nem sei :o;1
@Andre_Dinisu nao tnh qualquer tp de duvidas! ListA!!;1
RT @VEJA: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/qafiUipXEv;1
mas, a única coisa boa este natal é a colónia . vá, e os saldos depois do natal .;0
"RT @RitaMatiasBrito: ""Não digas que não te avisei se a tu próprio te enganas não digas que eu me enganei não seijas pato bravo nem fales da…";1
@MetalWeirdo não vou lindse;0
' na real sou mais presa do que predador ';0
@dncosta Viraram e ainda foi a prolongamento.;0
falar com o zé preto ao telefone é a mesma merda que falar com o nilton, parto-me a rir com este cabrão.;0
RT @felipefonte: Com três anos, presídio privado em Minas Gerais não teve rebeliões. E agora, José? https://t.co/zOGi877LRn;0
Bem, vou fazer cábulas e depois dormir.;1
vim masé para as batidas, porque eu já estava carente.. mas batidas com um fone não tem piada nenhuma.;0
PM apreende pés de maconha e drogas em Uberlândia https://t.co/N9wyhNJzG4;0
e mesmo quando tudo está mal há sempre aquela pessoa capaz de te fazer sorrir.;0
vi um sapo http://t.co/zciGARW7zN;1
@Lililainee claro que sim! que pergunta parva é essa?;1
@underskiin estou com um dilema na cabeça mas bem. Sim, correu, houve uma troca de informações e acho que está encaminhado :);0
Da última vez que falei mal do Slimani ele marcou. (via @Carla1906) Fala mal!;1
"KROMOSOMAS @ allez - caetanos supporters club 
SEXTA FEIRA, 15 NOVEMBRO
Radio Utopia - O som de uma nova realidade! http://t.co/ICTwywV7DT";1
MAS COMO É QUE ELA PODE DIZER QUE ESTA BEM SEM MIM ? NÃO PODE .;1
"@Joniramon13 MESSENGER JONY,MESSENGER; )";0
RT @Nelson_Andradee: O melhor das visitas de estudo é mesmo as viagens na carrinha;0
RT @joaolipas97: Vejo todos os dias o teu twiitter.;0
mas é a vida #it;0
Ninguém no estádio em jogo importante. Que miséria.;1
# Enchente no Coliseu no regresso dos Pixies http://t.co/rQvLSr2FwE Ler http://t.co/MElaZFAN53;1
@artuuur I mean, reconhece que está alguma coisa ligada, mas não me fica acessível para andar pelo disco;0
Bomm diaa;0
FUCKKKKKKK TUDO PÓ CARALHO;0
@Bart6Simpson quando lá fores treinar vais perceber o porquê de estar a dizer que vai ser um grande erro;1
Estou a morrer;1
@Ines_Roda @socclaudia doi-me os oubidos preciso da sua help sra enfermeira;1
Por muito que me custe e goste de ti , desisto de tentar mandar-te indiretas para ver se percebes q eu gosto mesmo de ti ...;0
Vá frio já sabemos que vieste agora abranda lá os cavalinhos;1
E amanhã vai-se para a faculdade a horas quando se sabe que a stora chega sempre pelo menos c/ meia hora de atraso.;1
A começar logo com Hardwell que é para ver se acordo.;1
A vida já nem faz sentido;1
"baaaaby vem p pé de mim :c &lt;9";1
Dois são detidos ao tentar jogar celulares e drogas em presídio de MG https://t.co/quvwWtotyK https://t.co/P9tqVQFEq9;0
O Anselmo devi ir tocar no estadio, o pavilhão vai encher muito facilmente...;1
RT @Nelson_Andradee: #TeamQueTinhaMedoDoPaiNatalDosShoppings;1
RT @Xiripitii: Amanhã vou acordar com uma olheiras do caralho , safoda;1
@omalestafeito e agora ainda tenho o Baía a comentar... Um mal nunca vem só!;0
Teste de Inglês nem pode ser considerado teste;0
Processo de designação de professores estaduais em Minas será feito pela internet  https://t.co/gFOARxFrPO;0
"ter frequência de C.O II na segunda às 8.30 é mesmo para estragar o meu rico fim de semana :C
#tenhodeestudar #játodoscomeçarammenoseu";1
Parece que tenho mais de 50 quilos em cada olho;1
@jonasnuts pois, estava com receio de ser demasiado explicito ...;0
RT @exame: Em calamidade financeira, governo de MG compra mais helicópteros > https://t.co/6uyDUO3WTT https://t.co/kEKVqvu0wT;1
ESSA MULHER FOI LÁ FAZER O QUÊ? #FactorX;1
Gosto imenso do meu tumblr;0
Superman de suspensórios. @ LX Factory http://t.co/uonvZm0q5b;1
Porque é que os #Lakers não fizeram Tanking esta época? Só porque o #kobe ia ficar fdd? A equipa é tão fraca OMG;1
Polícia detém suspeitos de sequestro em Guarani, MG https://t.co/I0CEQsrhM1 https://t.co/3wx5K8It6N;0
eu entro nesta track e fodo mais de cem, a única coisa que tu fodes é o juízo à tua mãe;1
@catarinaac11 principalmente em clássicos XD no ano passado, quando perdemos, o meu pai não me disse nada porque chorando.  SORTUDA MEU XD;1
IVA: Seguro: “Portugal chegou ao limite máximo de capacidade para pagar impostos” http://t.co/wOhBJItcZ5;1
piercing és lindo , mas dás muitas dores :((;1
Gostei de um vídeo @YouTube http://t.co/2isI4DUkhD Arthur - Wrecking ball (Miley Cyrus cover);1
Sabes o que sabes e mesmo assim fazes o que fazes.;1
Não tenho sono, tenho que estudar e não me apetece estudar. Eu todas as noites.;1
Biklas d'Água: Não há outras assim http://t.co/tw8uI3fpSL;1
"lemas da lista:
- ""de fumar e chorar por mais""
- ""moca partilhada é uma moca abençoada""
- ""antes pedrado que mal acompanhado""";1
@Patuleia Noruegueses, Franceses, etc. Se o filme é bom a lingua é relativa. Mas pronto, chines, japones, etc isso já é outra coisa lol;0
RT @Nelson_Andradee: @abominina Nada mesmo mana ahaha;0
Publiquei uma foto nova no Facebook http://t.co/rfNoWiPkwF;1
Porque um dia todos vocês vão ser felizes;1
RT @brenopepa: Tenho 3462 pontos no #Blablablametro. Transforme sua influência social e o uso do  #TIMbeta em benefícios. http://t.co/zHJaj…;0
Glow in the Dark já é um belo embrião Xenomorfico que já só precisa de ser alimentado pela energia dos amigos que... http://t.co/FBuHFiPmMc;1
alguém quer ir comigo a lisboa amanhã? nah me apetece ir sozinha p lá;0
Secretaria realiza mutirão para vacinação contra a febre amarela em Montes Claros https://t.co/QvVywDXATw https://t.co/yTEzKcOsx8;0
Estou farto da escola estou farto desta merda toda;1
Depois da dose do teste de Português hoje, amanhã depois do de Geografia até vou respirar melhor;0
FILHA DA PUTA https://t.co/dCZMH1QBNc;1
"@joydivision_s2 MUITO OM&amp;M";0
Nunca pensei amar assim tanto alguém, mas eu amo e cada vez te amo mais.;0
RT @marcelloterto: Com menos se faz mais: Presídio em Minas adota novo modelo e consegue recuperar 60% dos presos https://t.co/iSWaagdU2o;0
@Raq7el Exato. Como disse, sou paciente. xD;0
RT @andre_nienhaus: Bom Dia a todos :);0
@Ohnoffris Eu ouvi o Roma vs Benfica na sala de aula :P @JG1904 @jclnemo;0
Li a tua bios e desculpa não te vou seguir de volta..;1
SOU LAMPIÃO COM MUITO GOSTO MAS NÃO SÓ FUI CAMPEÃO EM 2001/2002.;0
Casillas provocando infartos e ictus;1
"@joaoporto1971 n sei se estás a brincar ou não. Mas eu já perdi 3 familiares por causa desse ""a menos de 100, não"" e foram sempre os outros.";1
bem, vou pa casa que agora só amanhã é que volto a ter net -.-';1
Gostava de ser rico sem trabalhar.;0
estamos a mandar gifs nossos um ao outro , awn , que fofs;0
Governo anuncia ensino integral em três escolas estaduais do Triângulo https://t.co/Gw62w9lt71 https://t.co/C5ihb9Z2zR;0
já estou farta da bicicleta;1
RT @shifterpt: Os 5 tweets portugueses da semana http://t.co/b9Rcnnt21X por @fvicentedasilva;1
RT @cidadealerta: Polícia prende traficantes com drogas e armas em Minas Gerais https://t.co/N7RCRdSQuY #CidadeAlerta;0
Já conhece todos os temas e os oradores do Congresso APAVT 2013 ? Consulte o programa disponível em... http://t.co/pus0IjqbYw;1
"RT @AldaTelles Guião para o filme ""Em busca da população empregada"" http://t.co/C6T2blxj7e …";1
Vi agora o 1º episódio de Sobrenatural e gostei bué;0
RT @EmaCRamos: Bom dia!!;0
calma, não quero, mas pronto .;1
Se acostume com a felicidade, seja inteiro e nao pela metade...;0
RT @duusales: Tanta gente que me faria feliz, nem que fosse momentaneamente, e continuo atrás do mesmo peso morto.;1
Publiquei uma foto nova no Facebook http://t.co/3KJlkdN41A;1
Odeio os meus tweets quando estou bem disposto, são mesmo ew;1
Bomm diaa :#étãocedonossa;0
Fernando Pimentel entrega viaturas à PM em Governador Valadares https://t.co/oWEeXp0nyV https://t.co/L6L0NKqrna;0
jogar melhor que os adversários e perder... sempre bom lol;0
mas tem de ser;1
@pinkpatxi muito obrigado! eu prometo que não meto fotos para não tornar a dor pior. as melhoras e mais uma vez, obrigado!;0
haaaaaaa :,(((( quero dormir. ahhh!!! bem...há muito que desenvolver...;1
Custaram R$ 21,8 milhões: Mesmo em calamidade, governo de MG compra mais dois... https://t.co/36yclR4yQH by #heliovesp via @c0nvey;1
Pá.. Não me posso queixar! A vida corre-me bem. Tenho exame terça.. Depois falamos!;0
Operação contra furto e roubo é realizada em Patos de Minas https://t.co/pCHJ6vhneK https://t.co/stsusKiEv3;0
Satisfaz menos a português, pensava que ia ter nega por isso já não é mau;1
@xanamcc_ ahah ou então vai dormir cedo com a boneca;0
Estes grupos são uns treta #factorxsic;1
Mas chegou um momento em que é impossível;1
Parabéns @AnaGolega! Beijos;0
Sou a filha preferida;1
Bolsa: Ganhos superiores a 1% da JM e PT impulsionam bolsa nacional http://t.co/mXcmaZZgRG;1
Spe Deus: Portadores de Deus em todos os ambientes http://t.co/5Sp46Q5BWe;0
Ora aqui está uma casa boa p mim! http://t.co/mhjE8w87S3;1
Adoro este miúdo;0
@Sporting_CP que no meu ipad mostra os 4 tabs e uma bolinha a rodar em cada um.. Que giro. Boa!;0
Pimentel visita Sala de Situação Contra a Febre Amarela e reafirma empenho do Estado para conter avanço da doença. https://t.co/BPnVKjs3wI;0
Beiras: Luís Pato - Vinhas Velhas 2009 - 11,50€/13,50€ - 16,5V;0
@joaomiranda a casa está no domínio público, não é para venda. Qual é o valor de algo que não é para vender?;1
@daniel_lourenc mas pai........ maus ensinamentos!;1
RT @Nelson_Andradee: #ListaParaOPaiNatal Dinheiro apenas;1
RT @jonguerreiiroo: #PessoasQueGostavaDeConhecer o @geladosexy;0
Quem é que ainda anda por aqui ?;0
Ryanair em Lisboa e no Porto para contratar assistentes e comissários de bordo http://t.co/5BltlvhqxB;1
RT @roneymau: BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/R1R6o24p14 Pilantrel e Zé Afonso deveriam…;1
JP Simões junta-se ao cartaz do Vodafone MexeFest que arranca hoje em Lisboa http://t.co/xsZEhd3Ipe;1
estou very diversificada hoje, sim senhor;0
RT @RodrigoFilipeF: #SeJogasCandyCrush sabes que dói, dói imenso, perder uma vida porque não rebentaste o último quadradinho de geleia;1
Publiquei uma foto nova no Facebook http://t.co/xpygfEaBVs;1
#NomesQueVouDarAosMeusFilhos Nutella;0
Mas agora estou em casa, à espera de ir almoçar para depois ir buscar a raquel;1
#timbeta #globo Assaltante é baleado por cliente durante roubo a posto em Uberlândia https://t.co/AcFQpMTx5Y #OperacaoBetaLab #Sigodevolta;0
Gostei de um vídeo do @YouTube de @canaldotioluis http://t.co/fq5RNyC7Sc Grand Theft Auto V (GTA 5) - PS3 - Playthrough #27;0
"Louis: Os outros rapazes nao estao autorizados a usar camisolas ás riscas.
 #EMAzing One Direction";1
Gostei de um vídeo @YouTube de @clocraft http://t.co/zm83VnQBiq MINECRAFT - MISTERIO DE HEROBRINE #1 - MINÉRIOS!;1
Bom diaaa.;0
RT @DamarisCalinas: @wesleyros  Catedral da Esperança Monte Estoril!!! http://t.co/HntOpHaNHf;1
Presídio em Minas adota novo modelo e consegue recuperar 60% dos presos https://t.co/YKX6lJ6Fij;0
@joaomontmatos normalmente faço nesse dia. Fiquei baralhado porque já vi muita gente com a árvore feita. ahahah;0
aquilo é terrível;1
RT @vemprarua: Arroz de terceira!     BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/SZtiWxZtKt;1
@naotenhonome68 o simões diz que ainda nao sabe;1
RT @IndignadosLxboa: RT @Guilhotinainfo #CTT #manifCTT dirige-se agora para o ministerio das finanças #Lisboa. Enorme presença policial. ht…;0
Menos de 90 pontos nesta jornada e fico fodido... #Fantasy;1
estou a ter um ataque de snap chat's da filipa mas ganda ataque mesmo;0
@martapenajoia vai dar tudo ao mesmo;0
estamos prontos para dormir #AtéAmanhã @ New York http://t.co/KRvZRsLZU9;1
"RT @JBarbosa2014: A FÓRMULA DO FRACASSO:
O governo PETISTA de FERNANDO PIMENTEL já está entre os PIORES da história do Estado de Minas Gera…";1
@drialbegada eu entro sempre às 8h30. Mas tou mesmo à toa com a roupa de amanha. Bah;1
na minha turma só confio em 3;0
RT @BeaCunhaa21: fogo a sério que ela não vai dizer nada hoje ?;0
Grupo é detido após roubo e carreta recuperada em MG https://t.co/yIPfhbE0Dt #TimBeta;0
"Já começou. ""Governo cria imposto adicional para automóveis a gasóleo - Orçamento do Estado"" - Jornal de Negócios http://t.co/2NH6PVwvB7";1
85% da minha turma: estudou física mas continua com a sensação de que não sabe nada;1
@HobbitAnao isso deve ser bue fixe;1
RT @exame: Em calamidade financeira, governo de MG compra mais helicópteros > https://t.co/6uyDUO3WTT https://t.co/kEKVqvu0wT;1
"""Em dois anos, o governo Pimentel (MG) fez mais, positivamente, para educação, do que os 12 anos de tucanato"", dispara dep @cristianominas";0
#Economia Portugal com o quinto maior crescimento da zona euro http://t.co/u7BMS1o9Yc;1
"RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.

 htt…";1
Sobrevivi à abertura da Primark no Colombo.;0
Lisboa é bela,até com tempo nublado...;0
tu não  vês ou não queres ver;0
RT @sitedaboa: Brasília - O governo de Minas gastará ao menos R$ 50,8 milhões com a compra de helicópteros. As despesas estão... https://t.…;1
Vá, boa noite;0
"Por causa de ti chorei ontem a noite toda. Foi duro, e ainda sinto os olhos a arder.

Puta da cebola.";1
@ShyVD ai és tão parva kkkkkk;0
@isv5 @asulado @vitriolica não ligo não miúda :-) ou seja, ligo mas com os filtros limpos;0
Estou cansada.;1
